,0
amplitude,0.34775913096511024
anderson_darling_normal,0.4527330914210161
beyond_1_std,0.3113778762774841
chi2,20.674710624306627
cusum,0.3316603028675984
kurtosis,0.046101323324458335
linear_fit_slope,-0.0015511753293886389
linear_fit_slope_sigma,0.0047865589973079305
linear_trend_noise,0.21258051291381364
linear_trend_sigma,0.008625335254293121
magnitude_percentage_ratio_20_10,0.6959700003507704
magnitude_percentage_ratio_40_5,0.19940979672469936
maximum_slope,70.86251807737959
median,18.362890106105965
median_absolute_deviation,0.13881951684168595
median_buffer_range_percentage_10,0.1991615113894396
skew,0.1766800006022181
stetson_K,0.8458165706553311
